                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7458,                 3.7238,                 1.9861,                0.08472,                0.06928,                0.04084,                 0.0129,                 2.4691,                 2.8299,                 1.9915,               0.003321,               0.003321,               0.003321
                      2,                 2.4743,                 2.8828,                 1.7137,                0.09337,                0.13946,                0.06831,                0.02069,                 2.3842,                 2.8911,                 1.6994,              0.0066355,              0.0066355,              0.0066355
                      3,                 2.4659,                 2.7985,                 1.6564,                0.21595,                0.19004,                0.07744,                0.02441,                 2.4704,                 2.8936,                 1.7998,              0.0099312,              0.0099312,              0.0099312
                      4,                 2.4594,                 2.7942,                 1.6617,                0.27788,                0.08972,                0.07887,                0.02327,                  2.567,                 3.2734,                 1.9483,              0.0099151,              0.0099151,              0.0099151
                      5,                 2.4394,                 2.7298,                 1.6509,                0.09167,                0.16002,                0.06107,                 0.0176,                 2.3993,                 2.8009,                 1.6918,              0.0099151,              0.0099151,              0.0099151
                      6,                 2.4134,                 2.6691,                 1.6478,                0.25041,                 0.1831,                0.11622,                0.03361,                 2.3488,                 2.7513,                 1.6853,              0.0098869,              0.0098869,              0.0098869
                      7,                 2.3988,                 2.5916,                 1.6285,                0.15786,                0.21009,                 0.1271,                0.03755,                 2.3653,                  2.684,                 1.7008,              0.0098586,              0.0098586,              0.0098586
                      8,                 2.3699,                 2.5394,                 1.6145,                0.12372,                0.17683,                0.10779,                 0.0356,                 2.3464,                  2.662,                 1.7317,              0.0098303,              0.0098303,              0.0098303
                      9,                 2.3579,                 2.4865,                 1.6057,                0.22501,                0.17829,                0.13182,                0.04591,                 2.3335,                 2.6126,                 1.7183,               0.009802,               0.009802,               0.009802
                     10,                  2.346,                 2.4398,                 1.6007,                0.28358,                  0.202,                0.17531,                0.05249,                 2.3282,                 2.5516,                 1.6565,              0.0097737,              0.0097737,              0.0097737
                     11,                 2.3274,                 2.3954,                 1.5819,                0.33922,                0.18582,                0.13886,                0.04909,                 2.2956,                 2.5734,                 1.6832,              0.0097454,              0.0097454,              0.0097454
                     12,                 2.3256,                 2.3553,                 1.5809,                0.26217,                0.24088,                0.18554,                0.06086,                 2.2791,                 2.5642,                 1.6599,              0.0097171,              0.0097171,              0.0097171
                     13,                 2.3071,                 2.3067,                 1.5623,                 0.1876,                 0.2211,                0.16737,                0.05385,                 2.3362,                 2.4719,                 1.6984,              0.0096889,              0.0096889,              0.0096889
                     14,                 2.2912,                 2.2684,                 1.5567,                0.27548,                  0.221,                0.20253,                0.06441,                 2.3218,                 2.4739,                 1.6638,              0.0096606,              0.0096606,              0.0096606
                     15,                 2.2655,                 2.1944,                 1.5378,                 0.2699,                0.24545,                0.18834,                0.06574,                 2.3042,                 2.3772,                 1.6437,              0.0096323,              0.0096323,              0.0096323
                     16,                 2.2509,                 2.1768,                 1.5437,                 0.2748,                 0.2303,                 0.1968,                 0.0647,                 2.3269,                 2.4381,                 1.6432,               0.009604,               0.009604,               0.009604
                     17,                  2.239,                 2.1231,                 1.5333,                0.27663,                0.25329,                0.20132,                0.07391,                 2.3372,                 2.3241,                 1.6939,              0.0095757,              0.0095757,              0.0095757
                     18,                  2.222,                 2.0833,                  1.524,                0.28974,                0.25518,                0.22388,                 0.0806,                  2.363,                 2.3645,                 1.6802,              0.0095474,              0.0095474,              0.0095474
                     19,                 2.2116,                  2.037,                 1.5072,                0.25579,                0.20716,                0.19834,                0.06852,                 2.3308,                 2.4589,                 1.6702,              0.0095191,              0.0095191,              0.0095191
                     20,                 2.1981,                 2.0098,                 1.5039,                0.32495,                0.23902,                0.23647,                0.08247,                  2.342,                 2.3704,                 1.6687,              0.0094909,              0.0094909,              0.0094909
                     21,                 2.1871,                 1.9601,                 1.4952,                 0.3459,                0.26791,                0.24454,                0.08086,                 2.4282,                 2.3978,                 1.6626,              0.0094626,              0.0094626,              0.0094626
                     22,                 2.1721,                 1.9206,                 1.4856,                0.26422,                0.26683,                0.20083,                 0.0756,                  2.343,                 2.3786,                 1.6876,              0.0094343,              0.0094343,              0.0094343
                     23,                 2.1606,                 1.9017,                 1.4763,                 0.3114,                0.29959,                0.23187,                  0.083,                 2.3108,                 2.4247,                  1.678,               0.009406,               0.009406,               0.009406
                     24,                  2.143,                 1.8594,                 1.4714,                0.33273,                0.30232,                0.26018,                0.08395,                 2.4089,                 2.4974,                 1.6324,              0.0093777,              0.0093777,              0.0093777
                     25,                 2.1366,                  1.827,                  1.467,                0.34617,                0.32168,                0.29933,                0.10931,                 2.4275,                 2.3069,                 1.7035,              0.0093494,              0.0093494,              0.0093494
                     26,                 2.1173,                 1.7795,                 1.4481,                0.26475,                0.35219,                0.26502,                0.09343,                 2.3952,                 2.4039,                 1.6825,              0.0093211,              0.0093211,              0.0093211
                     27,                 2.1085,                 1.7499,                 1.4383,                0.30892,                0.34547,                0.26926,                0.09622,                 2.3868,                 2.3658,                  1.674,              0.0092929,              0.0092929,              0.0092929
                     28,                 2.0833,                 1.7212,                 1.4284,                0.30322,                0.26227,                 0.2443,                0.08483,                 2.4099,                 2.3402,                 1.6559,              0.0092646,              0.0092646,              0.0092646
